accession	secondary_sample_accession	bio_material	cell_line	cell_type	collected_by	collection_date	country	cultivar	culture_collection	description	dev_stage	ecotype	environmental_sample	first_public	germline	identified_by	isolate	isolation_source	location	mating_type	serotype	serovar	sex	submitted_sex	specimen_voucher	strain	sub_species	sub_strain	tissue_lib	tissue_type	variety	tax_id	scientific_name	sample_alias	checklist	center_name	depth	elevation	altitude	environment_biome	environment_feature	environment_material	temperature	salinity	sampling_campaign	sampling_site	sampling_platform	protocol_label	project_name	host	host_tax_id	host_status	host_sex	submitted_host_sex	host_body_site	host_gravidity	host_phenotype	host_genotype	host_growth_conditions	environmental_package	investigation_type	experimental_factor	sample_collection	sequencing_method	target_gene	ph	broker_name
SAMEA102386668	ERS1574630									SAMPLE_WTCHG_350648_231181			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_231181	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102391168	ERS1574636									SAMPLE_WTCHG_350648_234175			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_234175	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102391918	ERS1574637									SAMPLE_WTCHG_350648_235134			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_235134	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102392668	ERS1574638									SAMPLE_WTCHG_350648_236146			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_236146	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102393418	ERS1574639									SAMPLE_WTCHG_350648_236151			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_236151	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102396418	ERS1574643									SAMPLE_WTCHG_350648_238170			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_238170	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102397918	ERS1574645									SAMPLE_WTCHG_350648_239182			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_239182	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102398668	ERS1574646									SAMPLE_WTCHG_350648_240103			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_240103	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102399418	ERS1574647									SAMPLE_WTCHG_350648_240194			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_240194	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102400168	ERS1574648									SAMPLE_WTCHG_350648_241111			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_241111	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102400918	ERS1574649									SAMPLE_WTCHG_350648_241186			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_241186	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102402418	ERS1574651									SAMPLE_WTCHG_350648_242174			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_242174	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102403168	ERS1574652									SAMPLE_WTCHG_350648_243135			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_243135	ERC000011	University of Oxford																															MAIDEN_OX
